plasmid_id	inc_type_x	length_bp	pLIN	bin_A	bin_B	bin_C	bin_D	bin_E	bin_F	n_amr_genes	n_vir_genes	n_stress_genes	n_total_hits	amr_genes	vir_genes	stress_genes	amr_classes	amr_subclasses
CP014198.2	ColE	7057	1.1.2.8.10.21	1	1	2	8	10	21	0	0	0	0	none	none	none	none	none
NC_001371.1	ColE	6646	1.1.2.15.22.71	1	1	2	15	22	71	0	0	0	0	none	none	none	none	none
NC_013589.1	ColE	5159	1.1.2.21.30.100	1	1	2	21	30	100	0	0	0	0	none	none	none	none	none
NC_021666.1	ColE	14709	1.1.2.4.12.40	1	1	2	4	12	40	1	0	0	1	aac(6')-Ib	none	none	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN
NZ_CP058329.1	ColE	13636	1.1.2.4.13.42	1	1	2	4	13	42	1	0	0	1	aac(6')-Ib'	none	none	AMINOGLYCOSIDE	GENTAMICIN
NZ_CP059482.1	ColE	12808	1.1.2.4.99.341	1	1	2	4	99	341	1	0	0	1	mcr-4.3	none	none	COLISTIN	COLISTIN
NZ_CP098356.1	ColE	15271	1.1.2.4.12.40	1	1	2	4	12	40	1	0	0	1	aac(6')-Ib	none	none	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN
NZ_CP110940.1	ColE	13636	1.1.2.4.12.40	1	1	2	4	12	40	1	0	0	1	aac(6')-Ib'	none	none	AMINOGLYCOSIDE	GENTAMICIN
NZ_CP110946.1	ColE	13636	1.1.2.4.13.42	1	1	2	4	13	42	1	0	0	1	aac(6')-Ib'	none	none	AMINOGLYCOSIDE	GENTAMICIN
NZ_CP110951.1	ColE	13636	1.1.2.4.12.40	1	1	2	4	12	40	1	0	0	1	aac(6')-Ib	none	none	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN
NZ_CP110956.1	ColE	13636	1.1.2.4.12.40	1	1	2	4	12	40	1	0	0	1	aac(6')-Ib	none	none	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN
NZ_CP110961.1	ColE	13636	1.1.2.4.13.42	1	1	2	4	13	42	1	0	0	1	aac(6')-Ib	none	none	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN
NZ_CP110966.1	ColE	13636	1.1.2.4.12.40	1	1	2	4	12	40	1	0	0	1	aac(6')-Ib	none	none	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN
NZ_CP110971.1	ColE	13636	1.1.2.4.12.40	1	1	2	4	12	40	1	0	0	1	aac(6')-Ib	none	none	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN
NZ_CP132199.1	ColE	9292	1.1.2.4.162.591	1	1	2	4	162	591	0	0	0	0	none	none	none	none	none
NZ_CP157099.1	ColE	16081	1.1.2.4.177.659	1	1	2	4	177	659	0	0	0	0	none	none	none	none	none
NZ_CP157107.1	ColE	9076	1.1.2.4.178.660	1	1	2	4	178	660	0	0	0	0	none	none	none	none	none
NZ_MN371150.1	ColE	6141	1.1.2.34.61.225	1	1	2	34	61	225	1	0	0	1	blaOXA-232	none	none	BETA-LACTAM	CARBAPENEM
NZ_OP745647.1	ColE	16840	1.1.2.4.7.878	1	1	2	4	7	878	2	0	0	2	aac(6')-Ib; blaKPC-3	none	none	AMINOGLYCOSIDE; BETA-LACTAM	AMIKACIN/KANAMYCIN/TOBRAMYCIN; CARBAPENEM
CP035911.1	ColRNAI	9729	1.1.2.4.11.28	1	1	2	4	11	28	0	0	0	0	none	none	none	none	none
CP058802.1	ColRNAI	9730	1.1.2.4.11.28	1	1	2	4	11	28	0	0	0	0	none	none	none	none	none
CP080656.1	ColRNAI	13841	1.1.2.4.12.40	1	1	2	4	12	40	1	0	0	1	aac(6')-Ib	none	none	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN
CP080660.1	ColRNAI	13841	1.1.2.4.13.42	1	1	2	4	13	42	1	0	0	1	aac(6')-Ib	none	none	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN
CP080664.1	ColRNAI	13141	1.1.2.4.13.42	1	1	2	4	13	42	1	0	0	1	aac(6')-Ib	none	none	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN
